text_id_shuff,num_sentences_shuff,last_sentence_shuff,ppl_shuff
0,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,19.48
0,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,7.99
0,3,Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction.,4.71
0,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,3.78
0,5,"For this instance, the model predicted to have diabetes.",4.75
1,1,Insulin (2-Hour serum insulin (mu U/ml)) is the third most important feature and has a negative influence on the prediction.,56.02
1,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,16.1
1,3,Age (Age of the patient) is the second most important feature and has a positive influence on the prediction.,7.99
1,4,Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction.,5.43
1,5,"For this instance, the model predicted not to have diabetes.",6.36
2,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a negative influence on the prediction.,20.3
2,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,8.4
2,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,4.84
2,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,3.83
2,5,"For this instance, the model predicted not to have diabetes.",4.64
3,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,19.48
3,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,8.15
3,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,4.75
3,4,Insulin (2-Hour serum insulin (mu U/ml)) is the 4th most important feature and has a negative influence on the prediction.,3.54
3,5,"For this instance, the model predicted not to have diabetes.",4.35
4,1,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a positive influence on the prediction.,45.2
4,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a positive influence on the prediction.,14.73
4,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,7.96
4,4,Glucose (Plasma glucose concentration) is the 4th most important feature and has a negative influence on the prediction.,5.47
4,5,"For this instance, the model predicted to have diabetes.",6.41
5,1,Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction.,53.02
5,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,13.02
5,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,6.52
5,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.,4.72
5,5,"For this instance, the model predicted not to have diabetes.",5.68
6,1,Age (Age of the patient) is the third most important feature and has a positive influence on the prediction.,30.2
6,2,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,9.35
6,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,5.17
6,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,3.91
6,5,"For this instance, the model predicted to have diabetes.",4.82
7,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,19.48
7,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,8.15
7,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,4.75
7,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction.,3.75
7,5,"For this instance, the model predicted not to have diabetes.",4.59
8,1,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,30.6
8,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,9.84
8,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,5.46
8,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,4.06
8,5,"For this instance, the model predicted not to have diabetes.",4.95
9,1,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a negative influence on the prediction.,47.41
9,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction.,15.68
9,3,Glucose (Plasma glucose concentration) is the second most important feature and has a positive influence on the prediction.,7.98
9,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.,5.48
9,5,"For this instance, the model predicted not to have diabetes.",6.41
10,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,19.48
10,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,7.99
10,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,4.79
10,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,3.65
10,5,"For this instance, the model predicted to have diabetes.",4.64
11,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,19.48
11,2,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,8.0
11,3,Diabetespedigreefunction (Diabetes pedigree function) is the second most important feature and has a negative influence on the prediction.,4.84
11,4,Insulin (2-Hour serum insulin (mu U/ml)) is the 4th most important feature and has a positive influence on the prediction.,3.62
11,5,"For this instance, the model predicted to have diabetes.",4.46
12,1,Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction.,53.02
12,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a positive influence on the prediction.,12.62
12,3,Diabetespedigreefunction (Diabetes pedigree function) is the second most important feature and has a positive influence on the prediction.,6.78
12,4,Age (Age of the patient) is the 4th most important feature and has a positive influence on the prediction.,4.97
12,5,"For this instance, the model predicted to have diabetes.",5.9
13,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,19.48
13,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,8.15
13,3,Age (Age of the patient) is the second most important feature and has a positive influence on the prediction.,4.73
13,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,3.66
13,5,"For this instance, the model predicted to have diabetes.",4.62
14,1,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a negative influence on the prediction.,47.41
14,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,15.87
14,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,7.71
14,4,Bmi (Body Mass Index (kg/m^2)) is the 4th most important feature and has a positive influence on the prediction.,5.4
14,5,"For this instance, the model predicted to have diabetes.",6.34
15,1,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,30.6
15,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction.,9.34
15,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,5.35
15,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction.,4.14
15,5,"For this instance, the model predicted not to have diabetes.",4.97
16,1,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,30.6
16,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction.,9.34
16,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,5.35
16,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,4.0
16,5,"For this instance, the model predicted not to have diabetes.",4.89
17,1,Glucose (Plasma glucose concentration) is the third most important feature and has a negative influence on the prediction.,53.02
17,2,Age (Age of the patient) is the most important feature and has a positive influence on the prediction.,12.92
17,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,6.46
17,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction.,4.72
17,5,"For this instance, the model predicted to have diabetes.",5.72
18,1,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,30.6
18,2,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,9.56
18,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,5.36
18,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction.,4.05
18,5,"For this instance, the model predicted to have diabetes.",4.95
19,1,Age (Age of the patient) is the third most important feature and has a positive influence on the prediction.,30.2
19,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction.,9.08
19,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,5.27
19,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,4.1
19,5,"For this instance, the model predicted not to have diabetes.",4.93
20,1,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,30.6
20,2,Bmi (Body Mass Index (kg/m^2)) is the most important feature and has a negative influence on the prediction.,9.34
20,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,5.35
20,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a negative influence on the prediction.,4.0
20,5,"For this instance, the model predicted not to have diabetes.",4.89
21,1,Age (Age of the patient) is the third most important feature and has a negative influence on the prediction.,30.6
21,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,9.84
21,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,5.46
21,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a negative influence on the prediction.,4.08
21,5,"For this instance, the model predicted not to have diabetes.",4.9
22,1,Age (Age of the patient) is the third most important feature and has a positive influence on the prediction.,30.2
22,2,Glucose (Plasma glucose concentration) is the most important feature and has a positive influence on the prediction.,9.35
22,3,Bmi (Body Mass Index (kg/m^2)) is the second most important feature and has a positive influence on the prediction.,5.17
22,4,Diabetespedigreefunction (Diabetes pedigree function) is the 4th most important feature and has a positive influence on the prediction.,3.91
22,5,"For this instance, the model predicted to have diabetes.",4.82
23,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a positive influence on the prediction.,19.48
23,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,8.15
23,3,Age (Age of the patient) is the second most important feature and has a positive influence on the prediction.,4.73
23,4,Pregnancies (Number of pregnancies) is the 4th most important feature and has a positive influence on the prediction.,3.66
23,5,"For this instance, the model predicted not to have diabetes.",4.6
24,1,Bmi (Body Mass Index (kg/m^2)) is the third most important feature and has a negative influence on the prediction.,20.3
24,2,Glucose (Plasma glucose concentration) is the most important feature and has a negative influence on the prediction.,8.4
24,3,Age (Age of the patient) is the second most important feature and has a negative influence on the prediction.,4.84
24,4,Skinthickness (Triceps skin fold thickness (mm)) is the 4th most important feature and has a negative influence on the prediction.,3.65
24,5,"For this instance, the model predicted not to have diabetes.",4.48
25,1,Diabetespedigreefunction (Diabetes pedigree function) is the third most important feature and has a negative influence on the prediction.,47.41
25,2,Age (Age of the patient) is the most important feature and has a negative influence on the prediction.,16.4
25,3,Glucose (Plasma glucose concentration) is the second most important feature and has a negative influence on the prediction.,7.9
